Code,DatasetID,Provider,Country,lat,lon,GeoBlock,Clay,Silt,Sand,OC,Db,dg,Sg,Instrument,Landuse_Code,Texture Class,Ksat,logKsat,Porosity,Porosity_sq,PoreRatio,BD_Adams,RelCompaction,OrganicPore,log_dg,Sg_,KC_logK,Sand_Clay
55,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,14.814,24.488,60.698,0.703,1.361,0.1492615149599912,13.342816803170091,4,6,SANDY LOAM,7.118,0.8523579836678271,0.4864150943396226,0.23659964400142394,0.43631146759242256,1.3684828675622778,0.9945319976306264,0.3419498113207547,-0.8260521547334077,13.342816803170091,2.279523599762619,4.097340353719455
56,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,16.86,22.384,60.757,0.749,1.4,0.1399339627943751,14.523043183941892,4,6,SANDY LOAM,5.727,0.7579271831133292,0.4716981132075472,0.22249911000355999,0.3760348479014247,1.3628928423682385,1.027226760958904,0.35330188679245284,-0.8540768668941325,14.523043183941892,2.158905641455323,3.60361803084223
57,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,17.51,21.844,60.646,0.879,1.377,0.13644900513768865,14.901701369358035,4,6,SANDY LOAM,7.159,0.8548523624178339,0.48037735849056606,0.23076240655037383,0.41055510483588337,1.3473390315486955,1.0220144802137965,0.42225169811320756,-0.8650296264637598,14.901701369358035,2.1751434850954943,3.463506567675614
58,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,13.158,42.943,43.899,0.195,1.304,0.08497862006834467,11.396348306895545,4,1,LOAM,1.363,0.13449585583467355,0.5079245283018867,0.2579873264506941,0.5411705104615462,1.4334103355428107,0.9097185695303327,0.09904528301886792,-1.070690325512557,11.396348306895545,1.8837847534228518,3.336297309621523
59,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,14.154,40.663,45.184,0.195,1.301,0.08623947099427896,11.976185641353275,4,1,LOAM,1.495,0.17464119266044847,0.5090566037735849,0.2591386258454966,0.547312518782497,1.4334103355428107,0.9076256587108611,0.09926603773584905,-1.0642939161760074,11.976185641353275,1.90147883111642,3.1923131270312277
60,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,12.855,41.271,45.874,0.098,1.297,0.09228117516386981,11.472399348422803,4,1,LOAM,1.728,0.2375437381428745,0.5105660377358491,0.26067767888928445,0.5556068144764326,1.4465148221748303,0.8966378913767123,0.05003547169811321,-1.0348868835491418,11.472399348422803,1.96682507810232,3.568572539867756
61,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.625,33.883,56.491,0.585,1.348,0.1514444764898683,10.532568318681943,4,1,SANDY LOAM,4.743,0.6760531246518715,0.4913207547169811,0.24139608401566393,0.458360615946718,1.3830344162802937,0.9746684421819961,0.2874226415094339,-0.8197465617085813,10.532568318681943,2.31354545245665,5.869194805194805
62,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,12.805,31.977,55.218,0.683,1.334,0.13029493437335896,12.101251517539199,4,1,SANDY LOAM,5.335,0.7271344237604886,0.4966037735849056,0.24661530793876818,0.4832925880981884,1.3709276417502512,0.9730637557915851,0.33918037735849055,-0.8850724685273423,12.101251517539199,2.2058964791939597,4.312221788363921
63,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,18.167,28.873,52.96,0.81,1.384,0.10069887388577191,14.756325623989431,4,6,SANDY LOAM,4.633,0.6658623002031552,0.4777358490566038,0.22823154147383415,0.39974502076297563,1.355550038004145,1.0209877623091976,0.38696603773584914,-0.9969753861289028,14.756325623989431,1.8996635721206203,2.915175868332691
64,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,7.358,18.966,73.676,0.195,1.296,0.3065806638255636,8.619779541202618,4,1,SANDY LOAM,4.225,0.6258267132857112,0.510943396226415,0.26106315414738335,0.5576993213902618,1.4334103355428107,0.9041374740117417,0.09963396226415094,-0.513455239757812,8.619779541202618,3.011320918038498,10.013047023647731
65,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.303,17.481,73.216,0.716,1.289,0.28293265584280813,9.724475155335513,4,6,SANDY LOAM,4.913,0.6913467641348218,0.5135849056603774,0.26376945532217877,0.5725621921346382,1.366898434773162,0.9430108098806262,0.3677267924528302,-0.5483169237559808,9.724475155335513,2.9530201009671315,7.8701494141674715
66,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.948,16.306,73.746,0.744,1.234,0.2824970882938192,10.042376124285868,4,6,SANDY LOAM,5.442,0.735758537443739,0.5343396226415094,0.2855188323246706,0.7035801312981814,1.363498240609645,0.9050250035146771,0.397548679245283,-0.5489860241080614,10.042376124285868,3.0411728000265765,7.413148371531966
67,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,9.002,27.555,63.443,0.992,1.321,0.19952138367009994,10.144557485856888,4,6,SANDY LOAM,9.362,0.9713686367914233,0.5015094339622641,0.25151171235315056,0.5076021274863702,1.3341047574353184,0.9901771151311153,0.497497358490566,-0.7000105520461386,10.144557485856888,2.5973336110827594,7.04765607642746
68,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,8.473,28.679,62.849,0.947,1.368,0.198600367876996,9.888854130309765,4,6,SANDY LOAM,7.752,0.8894137640427089,0.48377358490566036,0.23403688145247417,0.4248601585522524,1.3393437691116339,1.0213957249432484,0.45813358490566036,-0.7020199513753738,9.888854130309765,2.5160373856053484,7.417561666469962
69,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,10.288,26.819,62.893,0.846,1.324,0.18750647215574087,10.839730395019648,4,6,SANDY LOAM,10.572,1.0241571544596726,0.500377358490566,0.2503775008899964,0.5018902143425569,1.3512535879005536,0.979830885819961,0.4233192452830188,-0.7269837371468586,10.839730395019648,2.538472535281078,6.113238724727839
70,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,22.723,26.767,50.509,0.488,1.342,0.0793345628854502,16.87955537161507,4,1,SANDY CLAY LOAM,1.669,0.22245633667924672,0.49358490566037727,0.24362605909576354,0.46889146370373597,1.3952300791465695,0.9618485295420744,0.2408694339622641,-1.1005375667779203,16.87955537161507,1.7618284743188526,2.2228138890111344
71,1.0,M. Rahmati,Iran,37.836069,46.426016,7_9,25.713,25.15,49.137,0.488,1.348,0.0684297861449497,18.22726233825439,4,1,SANDY CLAY LOAM,1.5,0.17609125905568124,0.4913207547169811,0.24139608401566393,0.458360615946718,1.3952300791465695,0.9661488955459884,0.23976452830188677,-1.1647548172477837,18.22726233825439,1.6235289413782448,1.9109788822774472
